cus_id,cus_name,cus_phone,cus_email,type_id,type_name,type_desc,loc_id,loc_x,loc_y,region_name
46,Indigo Alley House,+99955807065,indigoalleyhouse@example.com,2,COMPANY,Some description for company type,46,12.97,45.11,Malinska
47,Midnight Ocean Inn,+999937851218,midnightoceaninn@example.com,2,COMPANY,Some description for company type,47,12.97,45.13,Malinska
48,Plum Times Lounge,+999948305891,plumtimeslounge@example.com,2,COMPANY,Some description for company type,48,12.86,45.25,Tribulje
49,Magic Elephant Lodge,+999204093648,magicelephantlodge@example.com,2,COMPANY,Some description for company type,49,12.86,45.25,Šilo
50,Captivating Wanderlust Cafe,+999163587076,captivatingwanderlustcafe@example.com,2,COMPANY,Some description for company type,50,13.03,45.10,Punat
51,Bittersweet Cloud Cuisine,+999189111981,bittersweetcloudcuisine@example.com,2,COMPANY,Some description for company type,51,13.01,45.25,Omišalj
52,Follow the Panache Pub,+999389376964,followthepanachepub@example.com,2,COMPANY,Some description for company type,52,13.02,45.24,Omišalj
53,Queen's Chef Lounge,+999549214937,queenscheflounge@example.com,2,COMPANY,Some description for company type,53,12.94,45.09,Malinska
54,Bright Bee Cookery,+999955504738,brightbeecookery@example.com,2,COMPANY,Some description for company type,54,13.00,45.13,Vantačići
55,The Forest Chophouse,+999424297380,theforestchophouse@example.com,2,COMPANY,Some description for company type,55,12.92,45.11,Malinska
56,Hidden Iris Chophouse,+999840514998,hiddenirischophouse@example.com,2,COMPANY,Some description for company type,56,12.98,45.28,Omišalj
57,Thirsty Palm Inn,+999459356622,thirstypalminn@example.com,2,COMPANY,Some description for company type,57,12.94,45.13,Malinska
58,Purple Vine Eats,+999466697848,purplevineeats@example.com,2,COMPANY,Some description for company type,58,12.77,45.26,Pinezići
59,Urban Hawk Tastes & Taps,+999679803865,urbanhawktastestaps@example.com,2,COMPANY,Some description for company type,59,12.99,45.28,Omišalj
60,Smiling Trolley Supper Club,+999203901646,smilingtrolleysupperclub@example.com,2,COMPANY,Some description for company type,60,13.05,45.10,Punat
61,Sage Peak House,+999840922830,sagepeakhouse@example.com,2,COMPANY,Some description for company type,61,13.02,45.24,Omišalj
62,Sapphire Thistle Place,+999100013542,sapphirethistleplace@example.com,2,COMPANY,Some description for company type,62,12.97,45.09,Malinska
63,Leaning Zebra Lodge,+999258123010,leaningzebralodge@example.com,2,COMPANY,Some description for company type,63,13.05,45.28,Vrbnik
64,Gastro Chop Lodge,+999776782089,gastrochoplodge@example.com,2,COMPANY,Some description for company type,64,12.98,45.26,Njivice
65,Saffron Delight Farmhouse,+999762572156,saffrondelightfarmhouse@example.com,2,COMPANY,Some description for company type,65,12.74,45.25,Krk
66,Mad Rabbit Chophouse,+99989051237,madrabbitchophouse@example.com,2,COMPANY,Some description for company type,66,13.05,45.09,Punat
67,Superb Dahlia Canteen,+999930371827,superbdahliacanteen@example.com,2,COMPANY,Some description for company type,67,12.93,45.13,Malinska
68,Le Harvest Kitchen,+999936208449,leharvestkitchen@example.com,2,COMPANY,Some description for company type,68,13.01,45.25,Omišalj
69,Mellow Rooster Canteen,+999161855407,mellowroostercanteen@example.com,2,COMPANY,Some description for company type,69,13.05,45.12,Punat
70,King's Fete Supper Club,+999303151692,kingsfetesupperclub@example.com,2,COMPANY,Some description for company type,70,12.96,45.10,Malinska
71,The Charm Eats,+999909057998,thecharmeats@example.com,2,COMPANY,Some description for company type,71,13.00,45.28,Omišalj
72,Merry Olive Bottles & Bites,+999201573448,merryolivebottlesbites@example.com,2,COMPANY,Some description for company type,72,13.03,45.28,Omišalj
73,Turquoise Plum Trattoria,+999906347312,turquoiseplumtrattoria@example.com,2,COMPANY,Some description for company type,73,13.03,45.17,Vantačići
74,Saucy Honeybee Bistro,+999216850281,saucyhoneybeebistro@example.com,2,COMPANY,Some description for company type,74,12.76,45.24,Poljica
75,Wild Maple Pub,+999914812404,wildmaplepub@example.com,2,COMPANY,Some description for company type,75,12.75,45.18,Muraj
76,Rogue Farmer Roadhouse,+999363410820,roguefarmerroadhouse@example.com,2,COMPANY,Some description for company type,76,12.94,45.12,Malinska
77,Boca Blossom Kitchen,+999318624063,bocablossomkitchen@example.com,2,COMPANY,Some description for company type,77,12.95,45.11,Malinska
78,The Horizon Cookery,+999618572941,thehorizoncookery@example.com,2,COMPANY,Some description for company type,78,12.98,45.27,Omišalj
79,Violet Peacock Pub,+999933704909,violetpeacockpub@example.com,2,COMPANY,Some description for company type,79,13.00,45.25,Njivice
80,Jolly Arrow Cuisine,+999995365851,jollyarrowcuisine@example.com,2,COMPANY,Some description for company type,80,13.01,45.25,Njivice
81,Juniper Bowl Place,+99970013249,juniperbowlplace@example.com,2,COMPANY,Some description for company type,81,13.00,45.27,Omišalj
82,Small Journey Inn,+999626408138,smalljourneyinn@example.com,2,COMPANY,Some description for company type,82,12.95,45.09,Malinska
83,Scarlet Fiddler Chophouse,+999879812188,scarletfiddlerchophouse@example.com,2,COMPANY,Some description for company type,83,12.76,45.26,Krk
84,Gourmet Fable Bottles & Bites,+999735790319,gourmetfablebottlesbites@example.com,2,COMPANY,Some description for company type,84,13.01,45.26,Omišalj
85,Ruby Seasons Bottles & Bites,+999941167547,rubyseasonsbottlesbites@example.com,2,COMPANY,Some description for company type,85,13.02,45.11,Punat
86,Brisk Era Tastes & Taps,+999475154411,briskeratastestaps@example.com,2,COMPANY,Some description for company type,86,13.02,45.28,Omišalj
87,Old Towne Platter Farmhouse,+999747011163,oldtowneplatterfarmhouse@example.com,2,COMPANY,Some description for company type,87,12.73,45.25,Krk
88,Inspired Moose Kitchen,+999318423019,inspiredmoosekitchen@example.com,2,COMPANY,Some description for company type,88,12.98,45.21,Njivice
89,Dreaming Orchid Bistro,+999576385011,dreamingorchidbistro@example.com,2,COMPANY,Some description for company type,89,12.93,45.11,Malinska
90,Sailing Robin Farmhouse,+99981578062,sailingrobinfarmhouse@example.com,2,COMPANY,Some description for company type,90,12.97,45.13,Malinska
91,Country Voila! Bistro,+999477994393,countryvoila!bistro@example.com,2,COMPANY,Some description for company type,91,12.97,45.10,Malinska
92,Lucky Roux Bottles & Bites,+999606524190,luckyrouxbottlesbites@example.com,2,COMPANY,Some description for company type,92,13.01,45.24,Omišalj
93,Bronze Bicycle Tavern,+999963814429,bronzebicycletavern@example.com,2,COMPANY,Some description for company type,93,13.05,45.10,Punat
94,Citron Feast Chophouse,+999418662039,citronfeastchophouse@example.com,2,COMPANY,Some description for company type,94,13.02,45.10,Punat
95,Savory Tree Pubhouse,+999112209665,savorytreepubhouse@example.com,2,COMPANY,Some description for company type,95,13.03,45.14,Punat
96,The Acorn Ristorante,+999449788753,theacornristorante@example.com,2,COMPANY,Some description for company type,96,13.02,45.14,Punat
97,Vivid Flame Chophouse,+999569620703,vividflamechophouse@example.com,2,COMPANY,Some description for company type,97,13.03,45.25,Omišalj
98,Grand Waters Trattoria,+999781758479,grandwaterstrattoria@example.com,2,COMPANY,Some description for company type,98,13.00,45.23,Njivice
99,Epic Grace Bottles & Bites,+999881587083,epicgracebottlesbites@example.com,2,COMPANY,Some description for company type,99,13.02,45.27,Omišalj
100,Rising Crave Lodge,+999185782125,risingcravelodge@example.com,2,COMPANY,Some description for company type,100,12.96,45.13,Malinska
101,Copper Anchor House,+999398043660,copperanchorhouse@example.com,2,COMPANY,Some description for company type,101,13.01,45.24,Omišalj
102,Evergreen Cobbler Chophouse,+999695027129,evergreencobblerchophouse@example.com,2,COMPANY,Some description for company type,102,13.03,45.29,Omišalj
103,Spirited Light Provisions,+999630606925,spiritedlightprovisions@example.com,2,COMPANY,Some description for company type,103,13.00,45.27,Omišalj
104,Tempting Lime Eats,+999510911102,temptinglimeeats@example.com,2,COMPANY,Some description for company type,104,12.75,45.28,Poljica
105,Neon Carrot Tavern,+999373304323,neoncarrottavern@example.com,2,COMPANY,Some description for company type,105,13.03,45.25,Omišalj
106,Gilded Chops Lodge,+999101877666,gildedchopslodge@example.com,2,COMPANY,Some description for company type,106,12.99,45.28,Omišalj
107,Loyal Wanderer Place,+999954117349,loyalwandererplace@example.com,2,COMPANY,Some description for company type,107,12.84,45.11,Jurandvor
108,Dandy Escape Lounge,+999505264537,dandyescapelounge@example.com,2,COMPANY,Some description for company type,108,12.78,45.15,Vrh
109,Amber Hen Cafe,+999637277976,amberhencafe@example.com,2,COMPANY,Some description for company type,109,12.97,45.09,Malinska
110,The Wave Chophouse,+999302390527,thewavechophouse@example.com,2,COMPANY,Some description for company type,110,13.03,45.10,Punat
111,Elderflower and Taste Chophouse,+999566566209,elderflowerandtastechophouse@example.com,2,COMPANY,Some description for company type,111,12.88,45.24,Šilo
112,First Goose Lounge,+999137854848,firstgooselounge@example.com,2,COMPANY,Some description for company type,112,12.80,45.22,Nenadići
113,Sweet Vista Canteen,+999160132048,sweetvistacanteen@example.com,2,COMPANY,Some description for company type,113,12.93,45.11,Malinska
114,Charmed Gourmand Farmhouse,+999527123923,charmedgourmandfarmhouse@example.com,2,COMPANY,Some description for company type,114,12.97,45.13,Malinska
115,Twisted Bear Tastes & Taps,+999554081735,twistedbeartastestaps@example.com,2,COMPANY,Some description for company type,115,12.97,45.10,Malinska
116,Swirled Hour Farmhouse,+99925238978,swirledhourfarmhouse@example.com,2,COMPANY,Some description for company type,116,12.97,45.11,Malinska
117,American Way Lounge,+999770294125,americanwaylounge@example.com,2,COMPANY,Some description for company type,117,12.87,45.18,Sveti Ivan Dobrinjski
118,Cinnamon Wish Ristorante,+999558189371,cinnamonwishristorante@example.com,2,COMPANY,Some description for company type,118,12.98,45.26,Omišalj
119,Swift Rose Eatery,+999866624775,swiftroseeatery@example.com,2,COMPANY,Some description for company type,119,13.00,45.22,Njivice
120,Hickory Basil Cuisine,+999551659139,hickorybasilcuisine@example.com,2,COMPANY,Some description for company type,120,12.97,45.12,Malinska
121,Happy Wit Pub,+99935939893,happywitpub@example.com,2,COMPANY,Some description for company type,121,13.03,45.24,Omišalj
122,Ornate Hive Bar and Grille,+999729183666,ornatehivebarandgrille@example.com,2,COMPANY,Some description for company type,122,12.92,45.09,Malinska
123,The Flash Bistro,+999816277987,theflashbistro@example.com,2,COMPANY,Some description for company type,123,13.00,45.25,Omišalj
124,Ciao! Bliss Tastes & Taps,+999858197592,ciao!blisstastestaps@example.com,2,COMPANY,Some description for company type,124,12.96,45.13,Malinska
125,Eclipsed Heron Restaurant,+999531370438,eclipsedheronrestaurant@example.com,2,COMPANY,Some description for company type,125,12.98,45.21,Njivice
126,Old Avenue Cuisine,+999350476204,oldavenuecuisine@example.com,2,COMPANY,Some description for company type,126,13.01,45.25,Omišalj
127,Funky Cat Bistro,+999409380168,funkycatbistro@example.com,2,COMPANY,Some description for company type,127,12.93,45.11,Malinska
128,New Lady Eatery,+999294799072,newladyeatery@example.com,2,COMPANY,Some description for company type,128,12.92,45.10,Malinska
129,Mystic Bell Bistro,+999933849135,mysticbellbistro@example.com,2,COMPANY,Some description for company type,129,12.74,45.22,Kornić
130,Fort Folly Place,+999174573029,fortfollyplace@example.com,2,COMPANY,Some description for company type,130,12.80,45.16,Vrh
131,The Canoe Kitchen,+999986992523,thecanoekitchen@example.com,2,COMPANY,Some description for company type,131,13.02,45.10,Punat
132,Craving Opal Trattoria,+999952598385,cravingopaltrattoria@example.com,2,COMPANY,Some description for company type,132,12.95,45.27,Sveti Vid-Miholjice
133,Casa de Cow Roadhouse,+999940177937,casadecowroadhouse@example.com,2,COMPANY,Some description for company type,133,13.02,45.21,Njivice
134,Regal Ciao! Trattoria,+999932084920,regalciao!trattoria@example.com,2,COMPANY,Some description for company type,134,12.89,45.24,Šilo
135,Story of the Saucer Supper Club,+999922839770,storyofthesaucersupperclub@example.com,2,COMPANY,Some description for company type,135,13.03,45.25,Omišalj
136,Good Outlaw Lounge,+999568509627,goodoutlawlounge@example.com,2,COMPANY,Some description for company type,136,12.72,45.24,Krk
137,Endless Fig Kitchen,+999963004744,endlessfigkitchen@example.com,2,COMPANY,Some description for company type,137,13.02,45.28,Omišalj
138,Lost Blaze House,+999112878095,lostblazehouse@example.com,2,COMPANY,Some description for company type,138,13.05,45.24,Vrbnik
139,Tin Chow Roadhouse,+99964329507,tinchowroadhouse@example.com,2,COMPANY,Some description for company type,139,13.02,45.14,Punat
140,Little Pines Bar and Grill,+999471328668,littlepinesbarandgrill@example.com,2,COMPANY,Some description for company type,140,12.73,45.25,Krk
141,Aster and Via Pub,+999999149370,asterandviapub@example.com,2,COMPANY,Some description for company type,141,13.00,45.29,Omišalj
142,Jeweled Pail Ristorante,+999737455177,jeweledpailristorante@example.com,2,COMPANY,Some description for company type,142,12.77,45.23,Kornić
143,Tart Sailor Provisions,+999696263258,tartsailorprovisions@example.com,2,COMPANY,Some description for company type,143,13.04,45.14,Punat
144,Southern Whisk Cucina,+999924344664,southernwhiskcucina@example.com,2,COMPANY,Some description for company type,144,12.90,45.20,Bogovići
145,Cobalt Loon Chophouse,+999311091911,cobaltloonchophouse@example.com,2,COMPANY,Some description for company type,145,12.96,45.09,Malinska
146,Chef's Apple Farmhouse,+999555441400,chefsapplefarmhouse@example.com,2,COMPANY,Some description for company type,146,12.79,45.12,Vrh
147,Wise Fire Bar and Grill,+999579317506,wisefirebarandgrill@example.com,2,COMPANY,Some description for company type,147,12.77,45.22,Kornić
148,Wayward Trumpeter Ristorante,+999203282386,waywardtrumpeterristorante@example.com,2,COMPANY,Some description for company type,148,12.98,45.26,Omišalj
149,Pickled Mallard Tastes & Taps,+999839914381,pickledmallardtastestaps@example.com,2,COMPANY,Some description for company type,149,12.98,45.29,Omišalj
150,The Bounty Farmhouse,+999241670284,thebountyfarmhouse@example.com,2,COMPANY,Some description for company type,150,13.00,45.26,Omišalj
151,Fine Garden Pubhouse,+999590395414,finegardenpubhouse@example.com,2,COMPANY,Some description for company type,151,12.92,45.14,Malinska
152,Kindred Vivant House,+999547664928,kindredvivanthouse@example.com,2,COMPANY,Some description for company type,152,12.82,45.09,Jurandvor
153,Top Monk Trattoria,+999355406876,topmonktrattoria@example.com,2,COMPANY,Some description for company type,153,12.96,45.11,Malinska
154,Cook's Lily Farmhouse,+999196577068,cookslilyfarmhouse@example.com,2,COMPANY,Some description for company type,154,13.03,45.29,Omišalj
155,Red Ladle Cucina,+999895341623,redladlecucina@example.com,2,COMPANY,Some description for company type,155,12.95,45.10,Malinska
156,Pure Haystack Lounge,+999531943896,purehaystacklounge@example.com,2,COMPANY,Some description for company type,156,12.97,45.12,Malinska
157,Fabled Jester House,+999891688510,fabledjesterhouse@example.com,2,COMPANY,Some description for company type,157,13.03,45.13,Punat
158,Supreme Gourmet Cucina,+999808780608,supremegourmetcucina@example.com,2,COMPANY,Some description for company type,158,12.93,45.10,Malinska
159,Northern Cuisine Place,+999947946517,northerncuisineplace@example.com,2,COMPANY,Some description for company type,159,13.04,45.13,Punat
160,Prime Pan Cookery,+999443495033,primepancookery@example.com,2,COMPANY,Some description for company type,160,13.00,45.25,Omišalj
161,The Bull Cucina,+999406272978,thebullcucina@example.com,2,COMPANY,Some description for company type,161,13.01,45.29,Omišalj
162,Wandering Inlet Cafe,+999558260025,wanderinginletcafe@example.com,2,COMPANY,Some description for company type,162,13.00,45.25,Omišalj
163,Artisan Dish Cookery,+999704383315,artisandishcookery@example.com,2,COMPANY,Some description for company type,163,13.00,45.24,Omišalj
164,Great Dove Trattoria,+999274377215,greatdovetrattoria@example.com,2,COMPANY,Some description for company type,164,13.02,45.25,Omišalj
165,Pepper Fern Lodge,+99931863228,pepperfernlodge@example.com,2,COMPANY,Some description for company type,165,13.03,45.24,Njivice
166,Charming Tumbler Eats,+999312721466,charmingtumblereats@example.com,2,COMPANY,Some description for company type,166,13.00,45.25,Omišalj
167,Garlic Prairie Cucina,+999343907010,garlicprairiecucina@example.com,2,COMPANY,Some description for company type,167,12.92,45.12,Malinska
168,Rolling Bazaar Farmhouse,+999427081387,rollingbazaarfarmhouse@example.com,2,COMPANY,Some description for company type,168,12.93,45.09,Malinska
169,Crafted Stone Pubhouse,+999312425463,craftedstonepubhouse@example.com,2,COMPANY,Some description for company type,169,13.01,45.27,Omišalj
170,Flying Mulberry Restaurant,+999124105238,flyingmulberryrestaurant@example.com,2,COMPANY,Some description for company type,170,13.02,45.25,Omišalj
171,Captain's Cup Pubhouse,+999409219126,captainscuppubhouse@example.com,2,COMPANY,Some description for company type,171,13.02,45.29,Omišalj
172,Strong Fork Trattoria,+999168654714,strongforktrattoria@example.com,2,COMPANY,Some description for company type,172,12.84,45.13,Jurandvor
173,Dancing Goblet Cookery,+999116387559,dancinggobletcookery@example.com,2,COMPANY,Some description for company type,173,12.97,45.13,Malinska
174,Swirling Crown Eats,+999755621013,swirlingcrowneats@example.com,2,COMPANY,Some description for company type,174,13.02,45.28,Omišalj
175,The Fox Bar and Grille,+999155160381,thefoxbarandgrille@example.com,2,COMPANY,Some description for company type,175,12.95,45.16,Milčetići
176,Lilac Moment Trattoria,+99963073310,lilacmomenttrattoria@example.com,2,COMPANY,Some description for company type,176,12.76,45.24,Krk
177,Plaid Lemon Supper Club,+999745302124,plaidlemonsupperclub@example.com,2,COMPANY,Some description for company type,177,13.03,45.25,Omišalj
178,Glorious Hedgehog Supper Club,+999550719361,glorioushedgehogsupperclub@example.com,2,COMPANY,Some description for company type,178,12.98,45.23,Njivice
179,Mrs. Mirror Farmhouse,+999340700549,mrs.mirrorfarmhouse@example.com,2,COMPANY,Some description for company type,179,13.03,45.24,Njivice
180,Crimson Coast Farmhouse,+99940723035,crimsoncoastfarmhouse@example.com,2,COMPANY,Some description for company type,180,13.02,45.25,Njivice
181,Azure Owl Tavern,+99947145588,azureowltavern@example.com,2,COMPANY,Some description for company type,181,13.02,45.09,Punat
182,Round Glass Ristorante,+999870934188,roundglassristorante@example.com,2,COMPANY,Some description for company type,182,12.92,45.12,Malinska
183,Whispering Time Chophouse,+999136327413,whisperingtimechophouse@example.com,2,COMPANY,Some description for company type,183,13.00,45.26,Omišalj
184,Glazed Bistro,+999691855017,glazedbistro@example.com,2,COMPANY,Some description for company type,184,12.74,45.25,Krk
185,Rustic Tavern,+999766776786,rustictavern@example.com,2,COMPANY,Some description for company type,185,12.94,45.09,Malinska
186,Handsome Bistro,+999910607301,handsomebistro@example.com,2,COMPANY,Some description for company type,186,13.03,45.29,Omišalj
187,Farmers Farmhouse,+999710501715,farmersfarmhouse@example.com,2,COMPANY,Some description for company type,187,13.01,45.24,Njivice
188,Howling Kitchen,+999617782210,howlingkitchen@example.com,2,COMPANY,Some description for company type,188,13.03,45.27,Omišalj
189,Rare Cafe,+99999667682,rarecafe@example.com,2,COMPANY,Some description for company type,189,12.99,45.25,Omišalj
190,Avid Eatery,+999629748613,avideatery@example.com,2,COMPANY,Some description for company type,190,12.72,45.24,Krk
191,Whistling Kitchen,+999701372307,whistlingkitchen@example.com,2,COMPANY,Some description for company type,191,13.02,45.26,Omišalj
192,Fancy Place,+999570930062,fancyplace@example.com,2,COMPANY,Some description for company type,192,12.99,45.29,Omišalj
193,Mr. Chophouse,+999154846537,mr.chophouse@example.com,2,COMPANY,Some description for company type,193,13.05,45.09,Punat
194,Vintage Cuisine,+999909864000,vintagecuisine@example.com,2,COMPANY,Some description for company type,194,12.99,45.24,Omišalj
195,Bon House,+999998506029,bonhouse@example.com,2,COMPANY,Some description for company type,195,13.06,45.13,Punat
196,Rosy Pubhouse,+999698172344,rosypubhouse@example.com,2,COMPANY,Some description for company type,196,12.98,45.24,Omišalj
197,Infinite Pubhouse,+99965059451,infinitepubhouse@example.com,2,COMPANY,Some description for company type,197,13.02,45.25,Omišalj
198,Spinning Farmhouse,+999632781341,spinningfarmhouse@example.com,2,COMPANY,Some description for company type,198,12.74,45.23,Krk
199,The Ristorante,+999378745574,theristorante@example.com,2,COMPANY,Some description for company type,199,12.77,45.24,Pinezići
200,Lavish Pubhouse,+999948175235,lavishpubhouse@example.com,2,COMPANY,Some description for company type,200,12.87,45.24,Rudine
201,Original Provisions,+999401534854,originalprovisions@example.com,2,COMPANY,Some description for company type,201,12.81,45.14,Jurandvor
202,Jumping Bistro,+999176962238,jumpingbistro@example.com,2,COMPANY,Some description for company type,202,13.01,45.25,Njivice
203,Lyrical Lounge,+999572368444,lyricallounge@example.com,2,COMPANY,Some description for company type,203,12.95,45.11,Malinska
205,Emmanuel Lopez,+999965260947,emmanuel.lopez@example.com,1,PERSON,Some description for person type,205,12.78,45.21,Baška
206,Jan Bommele,+999357614058,jan.bommele@example.com,1,PERSON,Some description for person type,206,12.80,45.23,Baška
207,Alexis Laat,+999974674747,alexis.laat@example.com,1,PERSON,Some description for person type,207,12.73,45.26,Krk
208,Theresia Klemann,+999859494724,theresia.klemann@example.com,1,PERSON,Some description for person type,208,12.75,45.25,Krk
209,Sieglinde Duncker,+999776840090,sieglinde.duncker@example.com,1,PERSON,Some description for person type,209,12.77,45.23,Baška
210,Jannie Hanouche,+999478996237,jannie.hanouche@example.com,1,PERSON,Some description for person type,210,12.72,45.22,Kornić
211,Christiane Lorch,+999792791364,christiane.lorch@example.com,1,PERSON,Some description for person type,211,13.02,45.21,Njivice
212,Leonore Trost,+999176696613,leonore.trost@example.com,1,PERSON,Some description for person type,212,12.79,45.23,Baška
213,Gabriele Backhauss,+999159718113,gabriele.backhauss@example.com,1,PERSON,Some description for person type,213,13.04,45.28,Vrbnik
214,Meike Reinke,+999530219573,meike.reinke@example.com,1,PERSON,Some description for person type,214,12.81,45.23,Baška
215,Jacob Lee,+999449827481,jacob.lee@example.com,1,PERSON,Some description for person type,215,12.73,45.26,Krk
216,Annelien Reinkober,+999606084182,annelien.reinkober@example.com,1,PERSON,Some description for person type,216,12.77,45.25,Krk
217,Kellie Gutierrez,+999442034509,kellie.gutierrez@example.com,1,PERSON,Some description for person type,217,12.75,45.21,Krk
218,Marie Lopez,+999424578052,marie.lopez@example.com,1,PERSON,Some description for person type,218,13.05,45.14,Punat
